Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cote d'Ivoire,0.422209051,0.369001603,0.319979027,0.402850348,0.341192447,0.466129996,0.534604712,0.500221834,0.443396718,0.390885668,0.412726893,0.458455888,0.422848418,0.310243409,0.426478538,0.426346238,0.37305611,0.353478286,0.345647505,0.282074856,0.339322893,0.344751436,0.431418011,0.483786557,0.487688034,,,,
Cameroon,0.147239223,0.090935492,0.303053026,0.303015682,0.288515729,0.310886377,0.319433021,0.224195366,0.217921459,0.203822084,0.221240439,0.21478626,0.20893307,0.225901762,0.229249619,0.208439099,0.211886527,0.311484739,0.287986298,0.339833528,0.33332691,0.275905671,0.285198098,0.306783421,0.308791722,,,,
"Congo, Dem. Rep.",0.117599887,0.082514088,0.075434255,0.066791532,0.040721189,0.051067468,0.054202372,0.043340822,0.037201477,0.030106068,0.017281811,0.017264116,0.018602767,0.019181563,0.022595333,0.02737571,0.028452967,0.030049313,0.03077524,0.028009591,0.031294864,0.03735382,0.034799464,0.050309039,0.063330889,,,,
"Congo, Rep.",0.504132621,0.414794173,0.513978984,0.515697458,0.816329926,0.578314904,0.616034834,0.817225036,0.263379733,0.270339349,0.335345115,0.238166239,0.173912899,0.269084528,0.270548827,0.271271608,0.298636286,0.313142347,0.326342657,0.421068121,0.463337538,0.513982294,0.65856754,0.66791556,0.653359719,,,,
Colombia,1.732107306,1.692051922,1.802576298,1.824446476,1.889645926,1.636794764,1.632508097,1.72065293,1.71974071,1.449048809,1.461619449,1.397899149,1.361734624,1.384189912,1.30884744,1.429045579,1.456923175,1.427394162,1.53855823,1.623721057,1.684432619,1.675976701,1.735179477,1.927535805,1.790356827,,,,
Comoros,0.151457504,0.155721539,0.151234511,0.155079083,0.150716994,0.154272035,0.157598741,0.160720227,0.170761664,0.173348486,0.189314418,0.184706272,0.180298132,0.226353755,0.239461311,0.227828399,0.257569541,0.160026184,0.161805094,0.196081111,0.233942107,0.192025124,0.19756697,0.237376687,0.202812784,,,,
Cabo Verde,0.282118657,0.285963088,0.29892033,0.300530251,0.302005542,0.313269512,0.361570337,0.362836696,0.382243997,0.436078316,0.50527572,0.538634731,0.620892604,0.684613162,0.722772039,0.950344685,1.008255004,1.065225445,0.976154329,1.077485611,1.131390388,1.234937537,1.001605194,0.974526525,0.948113817,,,,
Costa Rica,0.94748052,1.042124116,1.153706048,1.172205422,1.523484215,1.372461525,1.307349047,1.341002525,1.397820177,1.42133612,1.381705453,1.428049411,1.542475173,1.591302752,1.640325621,1.602680619,1.633748883,1.844061519,1.821535135,1.748029084,1.653498575,1.6708166,1.656720563,1.602246428,1.618087849,,,,
Caribbean small states,5.257705494,5.294423625,5.553156606,5.373008278,5.276144611,5.364014781,5.976059501,5.647197201,5.75809856,6.309633057,6.523880227,6.943661139,7.060886167,7.589306133,7.799479554,8.416017608,9.172735968,9.318033955,9.209908652,8.93312913,9.291597437,9.152373545,8.888216959,9.132324592,8.871219716,,,,
Cuba,3.146557696,2.783521534,2.914777383,2.723067081,2.975292804,2.361199667,2.467842666,2.242964069,2.219395831,2.285285534,2.344271343,2.279749768,2.329599824,2.269590762,2.222618822,2.309299351,2.433758496,2.381519728,2.709220661,2.663028943,3.418468671,3.202722693,3.21189443,3.084347569,3.080994246,,,,
